List,Sentence,Offset
1,812,-1.849565027359
1,776,-1.92531526333935
1,55,-1.62222809868693
1,873,-1.76617070608784
1,1049,-1.06728375060729
1,697,-1.22792889822725
1,1100,-0.386832189654542
1,631,-0.521781054453752
1,1188,0.0108152699200685
1,458,-0.260286020210832
1,854,0.160826795037318
1,1140,0.0629663253689081
1,54,0.381844356077679
1,1091,0.294753738258969
1,135,1.51464951156987
1,729,0.887624818061148
1,446,1.87694471604421
1,997,1.60354559194527
1,802,2.05579509869814
1,3,1.91606431341733
2,411,-1.66218923485445
2,342,-1.75537175288859
2,1119,-1.15695664193737
2,593,-1.45731857461532
2,1076,-0.672354726322232
2,40,-1.1435909298695
2,168,-0.274856603184801
2,605,-0.400541430600492
2,358,0.0363811860810186
2,437,-0.0388640541783021
2,844,0.242788344616698
2,337,0.158722734240258
2,5,0.548915693757018
2,574,0.257934852111788
2,276,0.608926657275418
2,810,0.552170178671559
2,1063,1.47722045209844
2,569,0.981242199346369
2,272,2.02674769207176
2,1071,1.76484762452622
3,960,-2.14641642854038
3,329,-2.64795651069988
3,61,-0.982236440071802
3,316,-2.04528334203224
3,708,-0.446930742225462
3,282,-0.908395412696152
3,297,-0.105365851562482
3,1064,-0.418915150289232
3,565,0.162270606162508
3,833,-0.0223935863823321
3,587,0.292650828470868
3,418,0.189401347152308
3,643,0.457267257878399
3,1055,0.312985677660678
3,554,0.879486382024878
3,671,0.570001846470548
3,1010,1.55299907489376
3,522,1.24403314738751
3,416,2.17186699822487
3,489,1.79192602956271
4,800,-2.21046893940932
4,248,-2.35897130669487
4,805,-1.84599501565408
4,1089,-2.02541389151233
4,1146,-0.884379782184482
4,731,-1.26641141982418
4,724,-0.591114696933522
4,632,-0.798503551188482
4,377,-0.191323840014341
4,213,-0.378885072114322
4,703,0.822018968603849
4,477,0.304504882108128
4,611,0.955411112311198
4,1036,0.909777936274708
4,974,1.11341283180223
4,242,0.968274298439798
4,985,1.74309278832229
4,649,1.64868262117797
4,1168,1.9242027508084
4,490,1.764390796606
5,965,-1.52253533133444
5,518,-2.23956393864345
5,672,-0.570869239717181
5,270,-1.5144259030971
5,187,-0.437910406285792
5,619,-0.486964343459172
5,431,-0.325113362743662
5,576,-0.411572453684371
5,871,-0.109821084061061
5,223,-0.284934138744882
5,609,0.230996503841748
5,384,0.187957464397669
5,904,0.323583141234418
5,586,0.245288164050758
5,312,0.629526607082268
5,767,0.610418949158118
5,510,1.11361676211012
5,1193,0.648248514063548
5,688,1.86297363767834
5,1005,1.42350783236216
6,900,-1.80797838070418
6,1058,-2.09105880931995
6,461,-1.5751395997562
6,313,-1.60383129930991
6,259,-1.04150744105297
6,907,-1.11909198346155
6,302,-0.282680150592991
6,346,-0.548635653041202
6,1115,0.176751770995728
6,144,-0.142682874513322
6,122,0.342400841746389
6,695,0.242253833827259
6,624,0.601496744825439
6,546,0.566760513120219
6,650,1.31131253951153
6,239,0.720258656709198
6,931,1.44721338683075
6,257,1.35241899537858
6,908,1.75691811079644
6,443,1.67921680302505
7,1027,-1.8896341345133
7,745,-1.99751140621492
7,254,-1.30411185844852
7,709,-1.85636890676239
7,920,-0.744692300403981
7,526,-0.949670546692602
7,998,-0.479905064991872
7,1001,-0.710709664733182
7,1102,-0.193900825426041
7,543,-0.251890167613881
7,690,0.303558427839948
7,468,0.221679174030948
7,962,0.317463012959638
7,721,0.312955296429188
7,736,1.1778152042577
7,553,0.647729582955058
7,1074,1.70120368907994
7,429,1.19404836270132
7,987,2.42360258421518
7,905,1.80580516787164
8,363,-1.78098029360423
8,298,-2.59087291712593
8,562,-1.59070003878361
8,606,-1.69364862767672
8,455,-1.14528939567214
8,941,-1.32595938020692
8,889,-0.410696510908601
8,570,-0.821807397755531
8,484,-0.136555242656121
8,357,-0.214413871429722
8,127,0.322369631367648
8,739,0.0420177020191481
8,324,0.598863704407218
8,550,0.366439482048999
8,485,1.29510519069052
8,621,0.968461115117378
8,572,1.77145638517734
8,836,1.69590071494319
8,1088,2.59081457136719
8,163,1.95224421627112
9,95,-1.72409272599552
9,727,-1.92770402699479
9,594,-1.54666607510973
9,491,-1.56963155139397
9,286,-1.13039077794966
9,360,-1.2565728496438
9,1192,-0.521823917336731
9,1178,-0.757195755520342
9,509,0.0663632580656879
9,1029,-0.425027821323272
9,433,0.192211176520798
9,733,0.150650689904729
9,380,0.857833617899669
9,152,0.523440707845189
9,1061,1.35450538564085
9,1128,0.924721145706288
9,865,1.62193192265926
9,306,1.4271532612647
9,1157,2.60925217966727
9,764,2.22750243972215
10,741,-1.99262614361493
10,1019,-2.14159623386708
10,845,-1.63344560540014
10,914,-1.80481970128554
10,926,-1.36192243436042
10,497,-1.36509303932297
10,198,-0.712016360859372
10,883,-0.924425805233102
10,20,-0.250393478687331
10,1062,-0.665171801091902
10,262,0.682475924369428
10,280,-0.201660134514912
10,463,1.06974930081914
10,1008,0.689290861620218
10,1117,1.64768420327489
10,425,1.52122320891882
10,1129,1.67337750332142
10,1116,1.66693280497453
10,1174,2.3594158588482
10,91,2.25481239009781
11,711,-1.5542256240199
11,535,-1.79528596380987
11,13,-0.830527157386181
11,247,-1.33199613855701
11,79,-0.526609813673971
11,1032,-0.755795723083992
11,896,-0.189276476032512
11,530,-0.328939925211571
11,808,-0.144947371868741
11,876,-0.187843509463962
11,820,-0.0268683603891118
11,178,-0.0700272831786215
11,399,0.260106732478058
11,864,0.145543523080939
11,992,0.843402033198438
11,394,0.491683353077788
11,181,1.34061003899722
11,513,0.908696195329118
11,445,1.64558256890394
11,207,1.61749360013164
12,784,-1.95579233296112
12,57,-2.68296642646039
12,681,-1.41880758467193
12,730,-1.67280078916655
12,539,-0.764547552111401
12,158,-0.796060414116242
12,666,-0.377308562365352
12,1142,-0.708596895750381
12,523,-0.251657796406832
12,645,-0.361989018971112
12,499,0.428631420055058
12,1096,0.243426802673619
12,315,0.548615166198668
12,73,0.543634473757418
12,388,0.947492590328668
12,112,0.721673949590858
12,231,1.20344533627595
12,100,1.20021901799842
12,717,2.68137329151221
12,424,2.46629326642497
13,60,-1.86928920121118
13,747,-2.10728696066629
13,435,-1.36036647585608
13,183,-1.85170844535084
13,208,-0.782316079955152
13,334,-0.936585982023872
13,121,-0.355966460521522
13,519,-0.778889439259522
13,782,-0.228855754112692
13,456,-0.350155296124242
13,646,0.210332409567219
13,1,-0.0516879070103213
13,599,0.466163801088158
13,882,0.326052564286378
13,10,1.36528975923903
13,238,0.946597530593988
13,354,1.50225736444719
13,945,1.40671523703011
13,737,2.64566021037092
13,803,2.06275750726666
14,17,-1.77080577212387
14,229,-1.97745276727893
14,483,-1.5386584043939
14,988,-1.68964101329304
14,341,-0.460862294344912
14,732,-1.26253624738003
14,426,-0.214387564593282
14,30,-0.440238433261232
14,996,-0.0203483677245213
14,614,-0.189873301219222
14,330,0.130036094558268
14,691,0.119609130368758
14,35,0.332008250491498
14,415,0.135644133413778
14,348,1.28874555437248
14,1184,0.712930330885999
14,169,1.59859840649035
14,1072,1.57777968530767
14,787,2.04611132167158
14,83,1.61447541878018
15,406,-1.1880959280852
15,877,-2.82426216644774
15,705,-1.13642132755262
15,620,-1.15146069189819
15,698,-0.661284927171862
15,479,-0.984686044931852
15,141,-0.413687215310572
15,692,-0.653997049906532
15,704,-0.00344553507232172
15,353,-0.347088906681131
15,288,0.543290619042308
15,541,0.0909916065954483
15,809,0.600651648725198
15,204,0.571622832515888
15,722,0.676103412911878
15,720,0.630128327729058
15,895,1.28411384965581
15,933,0.744537252399089
15,277,2.72042224297449
15,466,1.46782019880269
16,991,-1.39646387366782
16,1068,-2.04195473377911
16,230,-1.11609012628796
16,382,-1.13466441644974
16,369,-1.01149668024813
16,563,-1.06176942272667
16,944,-0.381057021861031
16,1056,-0.720786765021442
16,545,0.0628855537587585
16,967,-0.223178669367932
16,725,0.448791365562408
16,1087,0.343263634133279
16,109,0.670726255668458
16,710,0.543044896900058
16,44,0.819196110583478
16,296,0.758750868381078
16,221,1.1246005278233
16,853,1.12408534941923
16,1098,1.6393412034079
16,472,1.43143513670356
17,669,-2.16837002524825
17,402,-2.25302653517513
17,500,-0.984557927193022
17,397,-1.50210173286773
17,1095,-0.833301501184912
17,344,-0.961530901921902
17,588,-0.645109992603461
17,986,-0.686525732517771
17,1133,-0.207316440441332
17,701,-0.254266064500921
17,798,0.483331092191868
17,951,-0.163463488890712
17,1200,0.526688865151568
17,1043,0.504075116392269
17,955,0.783862801606128
17,146,0.752769173786048
17,49,1.69684535667583
17,274,1.55231721745051
17,502,2.56404598443675
17,757,1.9400988724137
18,559,-1.22748514882855
18,265,-1.68225926888127
18,398,-0.964324630185002
18,603,-1.1803960433353
18,1182,-0.689156374347472
18,487,-0.720829814713242
18,266,-0.514483672945332
18,511,-0.515777804213122
18,1110,0.155856192794718
18,290,-0.495920066390182
18,184,0.236456315675748
18,861,0.171408693453668
18,726,0.543340398253538
18,1144,0.266875375812479
18,927,0.719769271258158
18,862,0.696341166969738
18,1169,0.996818559938828
18,978,0.974953929793058
18,635,1.5218181955607
18,33,1.37697425662959
19,364,-1.87230531272621
19,70,-2.52649026112352
19,41,-1.66284161715707
19,936,-1.67333625795812
19,252,-1.38036624165957
19,898,-1.47249594699981
19,385,-0.862220699546512
19,1079,-0.994408716128712
19,37,-0.525592356909882
19,663,-0.640007914054451
19,1067,0.678108278739878
19,1149,0.644698965950719
19,625,0.960111209025868
19,1013,0.903500153068379
19,16,1.67562066246401
19,408,1.2224481865617
19,241,1.81820797594028
19,202,1.75519201652896
19,284,2.43212913636652
19,1190,1.98171419174471
20,911,-2.0779067867228
20,910,-2.4114983109408
20,778,-1.38645670133457
20,575,-1.98478434116141
20,642,-0.713896992749932
20,173,-1.13186884379464
20,19,-0.341931671314062
20,304,-0.595514217062152
20,386,-0.258895769891652
20,807,-0.321299407012152
20,626,0.0391308170380684
20,879,-0.073827823013982
20,712,0.754247597422259
20,707,0.400864078098158
20,1194,1.23674344980388
20,1148,1.11556512986985
20,715,1.80369292945273
20,1143,1.34058997804654
20,551,2.37803063847915
20,410,1.82221848555505
21,1152,-1.16177542932
21,59,-2.22093247249179
21,548,-1.00825341766311
21,503,-1.05841031908506
21,441,-0.862952303487162
21,140,-0.871755113346322
21,696,-0.684537165888072
21,524,-0.816517954937932
21,517,-0.0715039671605515
21,755,-0.651019315169932
21,840,0.407700119867738
21,1077,0.290258109300858
21,165,0.589941079211378
21,151,0.433666693481729
21,1108,1.05028482087466
21,1086,0.716898214070159
21,454,1.41457127827971
21,453,1.11140103743324
21,9,1.76464314225938
21,582,1.51600318249029
22,773,-1.13069053122155
22,219,-1.40600433662353
22,366,-1.02754774712589
22,838,-1.13055361996513
22,855,-0.515315280142972
22,970,-0.645274458208892
22,1121,-0.224750503628211
22,687,-0.511375217208232
22,514,0.0241050048709184
22,111,-0.194235458398272
22,532,0.229895159440188
22,370,0.222980704430048
22,14,0.552328557273928
22,592,0.232896418455078
22,1107,0.677813963048759
22,1015,0.568874536559249
22,39,1.09326412523704
22,328,1.05107105665321
22,1006,1.2953895470714
22,233,1.25510374518538
23,561,-1.33338720387913
23,1180,-2.54659419018776
23,777,-1.18316281965022
23,1026,-1.310294056501
23,1125,-0.696956477284632
23,139,-1.16260259139177
23,664,-0.631472962873581
23,1093,-0.653577609705732
23,62,0.0252068487108685
23,48,-0.408772943622232
23,892,0.254762319348958
23,948,0.181982783321798
23,993,0.905558585298778
23,375,0.731806010941388
23,899,0.987444641689199
23,981,0.978023978763498
23,427,1.35687498764182
23,1024,1.33837502519964
23,480,2.06326918563955
23,556,1.49913561528054
24,339,-1.42419065578259
24,1033,-1.44117720027299
